elapsed_s	offset_ns	freq_ppb
197.000	5	10008
198.000	0	10004
199.000	-1	10003
200.000	-1	10003
201.000	-1	10003
202.000	6	10009
203.000	0	10005
204.000	-9	9996
205.000	-2	10000
206.000	7	10009
207.000	1	10005
208.000	0	10004
209.000	-1	10003
210.000	5	10009
211.000	-1	10004
212.000	-9	9996
213.000	-2	10000
214.000	7	10009
215.000	1	10005
216.000	-7	9997
217.000	-1	10001
218.000	1	10003
219.000	1	10003
220.000	-5	9997
221.000	0	10001
222.000	3	10004
223.000	2	10004
224.000	-12	9990
225.000	1	10000
226.000	4	10003
227.000	4	10004
228.000	-10	9992
229.000	-5	9994
230.000	-2	9995
231.000	6	10002
232.000	-6	9992
233.000	-1	9995
234.000	6	10002
235.000	-6	9992
236.000	-1	9995
237.000	1	9997
238.000	7	10003
239.000	1	9999
240.000	-15	9984
241.000	-1	9993
242.000	2	9996
243.000	3	9997
244.000	-10	9985
245.000	1	9993
246.000	-2	9991
247.000	-8	9984
248.000	4	9994
249.000	1	9992
250.000	0	9991
251.000	-7	9984
252.000	-1	9988
253.000	1	9990
254.000	2	9991
255.000	1	9991
256.000	-12	9978
257.000	1	9987
258.000	-3	9984
259.000	-2	9984
260.000	-2	9983
261.000	-14	9970
262.000	-7	9973
263.000	4	9982
264.000	-1	9978
265.000	-2	9977
266.000	5	9983
267.000	-1	9979
268.000	-2	9978
269.000	-2	9977
270.000	5	9983
271.000	-1	9979
272.000	4	9984
273.000	-2	9979
274.000	3	9983
275.000	-3	9978
276.000	2	9982
277.000	-2	9979
278.000	-4	9976
279.000	4	9983
280.000	5	9985
281.000	4	9986
282.000	-4	9979
283.000	1	9983
284.000	8	9990
285.000	2	9986
286.000	-7	9978
287.000	-1	9982
288.000	1	9984
289.000	7	9990
290.000	1	9986
291.000	-1	9984
292.000	-8	9977
293.000	-1	9982
294.000	2	9984
295.000	1	9984
296.000	1	9984
297.000	-6	9978
298.000	7	9989
299.000	-4	9980
300.000	6	9989
301.000	2	9986
302.000	-7	9978
303.000	-2	9981
304.000	8	9990
305.000	1	9986
306.000	0	9985
307.000	-2	9983
308.000	-1	9983
309.000	0	9984
310.000	0	9984
311.000	-1	9983
312.000	0	9984
313.000	6	9990
314.000	0	9986
315.000	-8	9978
316.000	5	9988
317.000	7	9992
318.000	6	9993
319.000	-10	9979
320.000	2	9988
321.000	11	9997
322.000	-2	9988
323.000	-6	9983
324.000	1	9988
325.000	4	9991
326.000	9	9998
327.000	2	9993
328.000	-8	9984
329.000	-2	9988
330.000	1	9990
331.000	8	9997
332.000	-5	9987
333.000	-2	9988
334.000	7	9997
335.000	-6	9986
336.000	-1	9989
337.000	7	9997
338.000	7	9999
339.000	-8	9986
340.000	3	9994
341.000	5	9997
342.000	-8	9986
343.000	3	9994
344.000	6	9998
345.000	4	9998
346.000	3	9998
347.000	-12	9984
348.000	1	9994
349.000	4	9997
350.000	4	9998
351.000	-4	9991
352.000	2	9996
353.000	2	9997
354.000	2	9997
355.000	-5	9991
356.000	1	9995
357.000	3	9998
358.000	2	9998
359.000	-6	9990
360.000	1	9995
361.000	2	9997
362.000	2	9997
363.000	2	9998
364.000	-12	9984
365.000	0	9993
366.000	-2	9991
367.000	3	9995
368.000	-1	9992
369.000	-3	9990
370.000	4	9996
371.000	-2	9991
372.000	-3	9990
373.000	4	9996
374.000	-1	9992
375.000	4	9997
376.000	-2	9992
377.000	3	9996
378.000	3	9997
379.000	3	9998
380.000	-11	9985
381.000	1	9994
382.000	10	10003
383.000	4	10000
384.000	-6	9991
385.000	7	10002
386.000	1	9998
387.000	6	10004
388.000	-1	9998
389.000	-3	9996
390.000	4	10002
391.000	5	10004
392.000	4	10005
393.000	2	10004
394.000	-6	9997
395.000	1	10002
396.000	2	10003
397.000	2	10004
398.000	-12	9990
399.000	7	10006
400.000	4	10005
401.000	3	10005
402.000	-6	9997
403.000	0	10001
404.000	2	10003
405.000	2	10004
406.000	1	10003
407.000	-6	9997
408.000	1	10002
409.000	2	10003
410.000	8	10010
411.000	-11	9993
412.000	-2	9999
413.000	2	10002
414.000	10	10011
415.000	-11	9993
416.000	-1	10000
417.000	3	10003
418.000	-4	9997
419.000	-5	9995
420.000	4	10003
421.000	4	10004
422.000	4	10005
423.000	2	10004
424.000	-6	9997
425.000	1	10002
426.000	2	10003
427.000	1	10003
428.000	-5	9997
429.000	1	10002
430.000	3	10004
431.000	2	10004
432.000	-5	9997
433.000	7	10008
434.000	2	10005
435.000	0	10004
436.000	6	10010
437.000	-7	9998
438.000	4	10007
439.000	0	10005
440.000	5	10010
441.000	-2	10004
442.000	-2	10003
443.000	3	10008
444.000	5	10011
445.000	4	10011
446.000	-11	9997
447.000	8	10013
448.000	-2	10006
449.000	2	10009
450.000	2	10010
451.000	-4	10004
452.000	1	10008
453.000	3	10010
454.000	2	10010
455.000	1	10010
456.000	-5	10004
457.000	0	10008
458.000	2	10010
459.000	2	10010
460.000	-5	10004
461.000	1	10008
462.000	2	10010
463.000	2	10010
464.000	-5	10004
465.000	7	10014
466.000	3	10012
467.000	0	10010
468.000	-7	10003
469.000	-1	10007
470.000	1	10009
471.000	2	10010
472.000	1	10010
473.000	-5	10004
474.000	6	10014
475.000	2	10011
476.000	7	10017
477.000	-7	10005
478.000	-2	10008
479.000	6	10015
480.000	0	10011
481.000	-2	10009
482.000	-8	10003
483.000	5	10013
484.000	2	10012
485.000	6	10016
486.000	-1	10011
487.000	-2	10010
488.000	4	10015
489.000	5	10017
490.000	-3	10011
491.000	-5	10008
492.000	3	10014
493.000	5	10017
494.000	4	10018
495.000	2	10017
496.000	-6	10010
497.000	1	10015
498.000	2	10016
499.000	1	10016
500.000	-5	10010
501.000	1	10015
502.000	2	10016
503.000	2	10016
504.000	-5	10010
505.000	1	10015
506.000	2	10016
507.000	2	10016
508.000	8	10023
509.000	-5	10012
510.000	5	10021
511.000	0	10017
512.000	5	10022
513.000	-8	10011
514.000	3	10020
515.000	-1	10016
516.000	5	10022
517.000	-7	10012
518.000	3	10020
519.000	-1	10016
520.000	5	10022
521.000	-7	10012
522.000	3	10020
523.000	6	10023
524.000	-2	10017
525.000	4	10023
526.000	3	10023
527.000	9	10030
528.000	-11	10012
529.000	-1	10019
530.000	2	10022
531.000	2	10022
532.000	-4	10017
533.000	7	10027
534.000	3	10025
535.000	0	10023
536.000	-7	10016
537.000	0	10021
538.000	1	10022
539.000	2	10023
540.000	-12	10010
541.000	1	10019
542.000	10	10028
543.000	5	10026
544.000	1	10024
545.000	-7	10016
546.000	-1	10020
547.000	1	10022
548.000	-5	10016
549.000	8	10028
550.000	3	10025
551.000	0	10023
552.000	6	10029
553.000	-7	10018
554.000	-2	10021
555.000	6	10028
556.000	0	10024
557.000	5	10029
558.000	5	10030
559.000	3	10030
560.000	-4	10024
561.000	1	10027
562.000	2	10029
563.000	-11	10016
564.000	2	10026
565.000	5	10030
566.000	4	10030
567.000	-11	10016
568.000	2	10026
569.000	-2	10023
570.000	4	10028
571.000	-8	10017
572.000	3	10026
573.000	0	10024
574.000	5	10029
575.000	-1	10024
576.000	3	10028
577.000	-3	10023
578.000	-3	10022
579.000	3	10027
580.000	12	10037
581.000	3	10032
582.000	-6	10023
583.000	-1	10027
584.000	1	10028
585.000	-11	10017
586.000	1	10025
587.000	5	10030
588.000	-3	10023
589.000	-4	10021
590.000	4	10028
591.000	-8	10017
592.000	3	10026
593.000	0	10024
594.000	-2	10022
595.000	5	10028
596.000	6	10031
597.000	-3	10023
598.000	-4	10022
599.000	3	10027
600.000	-2	10023
601.000	4	10029
602.000	4	10030
603.000	-10	10017
604.000	1	10025
605.000	5	10029
606.000	-2	10024
607.000	3	10028
608.000	-3	10023
609.000	-4	10021
610.000	4	10028
611.000	4	10029
612.000	-9	10017
613.000	2	10026
614.000	12	10036
615.000	-9	10019
616.000	7	10032
617.000	4	10031
618.000	-5	10024
619.000	0	10027
620.000	2	10029
621.000	-5	10023
622.000	1	10027
623.000	2	10028
624.000	-4	10023
625.000	2	10028
626.000	-4	10022
627.000	3	10028
628.000	3	10029
629.000	-4	10023
630.000	2	10028
631.000	9	10035
632.000	-10	10019
633.000	-1	10025
634.000	9	10035
635.000	-10	10019
636.000	7	10033
637.000	-10	10018
638.000	8	10033
639.000	-3	10024
640.000	8	10034
641.000	3	10032
642.000	-6	10023
643.000	5	10033
644.000	-5	10024
645.000	6	10034
646.000	-5	10024
647.000	6	10034
648.000	0	10030
649.000	-1	10029
650.000	-1	10028
651.000	-7	10022
652.000	6	10033
653.000	-5	10024
654.000	6	10033
655.000	8	10037
656.000	-6	10026
657.000	3	10033
658.000	-1	10030
659.000	4	10034
660.000	5	10037
661.000	-3	10030
662.000	2	10034
663.000	3	10036
664.000	-4	10030
665.000	2	10034
666.000	-4	10029
667.000	2	10034
668.000	10	10042
669.000	-4	10031
670.000	0	10034
671.000	7	10041
672.000	-6	10030
673.000	-1	10034
674.000	7	10041
675.000	1	10037
676.000	-1	10036
677.000	-2	10034
678.000	-1	10035
679.000	-1	10034
680.000	7	10042
681.000	-7	10030
682.000	4	10039
683.000	-6	10030
684.000	-1	10034
685.000	7	10041
686.000	-12	10024
687.000	5	10038
688.000	2	10036
689.000	-5	10030
690.000	-6	10027
691.000	1	10033
692.000	4	10036
693.000	-3	10030
694.000	2	10034
695.000	3	10036
696.000	-4	10030
697.000	1	10033
698.000	9	10042
699.000	-4	10031
700.000	0	10034
701.000	1	10035
702.000	7	10042
703.000	1	10038
704.000	-2	10035
705.000	5	10041
706.000	5	10043
707.000	-9	10030
708.000	2	10039
709.000	5	10042
710.000	-9	10030
711.000	-4	10032
712.000	6	10041
713.000	0	10037
714.000	5	10042
715.000	5	10043
716.000	-10	10030
717.000	2	10039
718.000	5	10042
719.000	5	10044
720.000	2	10042
721.000	2	10043
722.000	7	10048
723.000	-7	10037
724.000	5	10046
725.000	0	10043
726.000	-8	10035
727.000	-1	10040
728.000	0	10040
729.000	-5	10035
730.000	2	10041
731.000	2	10041
732.000	9	10049
733.000	-5	10038
734.000	-1	10040
735.000	-6	10035
736.000	-6	10033
737.000	3	10040
738.000	4	10042
739.000	-9	10030
740.000	2	10039
741.000	4	10041
742.000	-2	10036
743.000	3	10041
744.000	-3	10036
745.000	-3	10035
746.000	4	10041
747.000	4	10042
748.000	-3	10036
749.000	-4	10034
750.000	3	10040
751.000	-2	10036
752.000	3	10041
753.000	4	10042
754.000	-3	10037
755.000	2	10041
756.000	9	10048
757.000	-4	10038
758.000	-7	10034
759.000	7	10046
760.000	-4	10037
761.000	1	10041
762.000	8	10048
763.000	-5	10037
764.000	-1	10040
765.000	1	10042
766.000	-5	10036
767.000	7	10046
768.000	2	10043
769.000	6	10048
770.000	-7	10037
771.000	-2	10040
772.000	-7	10034
773.000	1	10040
774.000	9	10048
775.000	-4	10038
776.000	-1	10040
777.000	0	10041
778.000	2	10043
779.000	0	10041
780.000	-6	10035
781.000	7	10046
782.000	-4	10037
783.000	0	10040
784.000	8	10048
785.000	-6	10037
786.000	6	10047
787.000	0	10043
788.000	6	10049
789.000	-8	10036
790.000	4	10046
791.000	-1	10042
792.000	5	10048
793.000	5	10049
794.000	-3	10043
795.000	2	10047
796.000	3	10049
797.000	-5	10042
798.000	2	10047
799.000	-4	10042
800.000	3	10047
801.000	-3	10042
802.000	9	10053
803.000	3	10050
804.000	-6	10042
805.000	7	10053
806.000	1	10049
807.000	0	10049
808.000	6	10055
809.000	-7	10043
810.000	3	10051
811.000	6	10055
812.000	-1	10050
813.000	3	10054
814.000	4	10056
815.000	-4	10049
816.000	2	10054
817.000	2	10054
818.000	-4	10049
819.000	1	10053
820.000	3	10055
821.000	2	10055
822.000	-5	10048
823.000	1	10053
824.000	9	10061
825.000	-4	10051
826.000	5	10059
827.000	1	10056
828.000	5	10061
829.000	-7	10050
830.000	3	10058
831.000	0	10056
832.000	5	10061
833.000	-8	10049
834.000	3	10058
835.000	0	10056
836.000	-8	10048
837.000	4	10057
838.000	8	10063
839.000	-1	10056
840.000	-9	10048
841.000	4	10058
842.000	-6	10049
843.000	5	10058
844.000	8	10063
845.000	-1	10056
846.000	-3	10054
847.000	-3	10053
848.000	5	10060
849.000	-1	10056
850.000	-2	10054
851.000	4	10060
852.000	5	10062
853.000	-9	10050
854.000	2	10058
855.000	4	10060
856.000	5	10063
857.000	-4	10055
858.000	-4	10054
859.000	-4	10053
860.000	-3	10053
861.000	6	10061
862.000	-1	10055
863.000	-8	10048
864.000	4	10058
865.000	7	10062
866.000	6	10063
867.000	-9	10050
868.000	2	10058
869.000	4	10061
870.000	-8	10050
871.000	2	10058
872.000	5	10061
873.000	-8	10050
874.000	3	10058
875.000	-7	10049
876.000	5	10059
877.000	6	10062
878.000	-1	10056
879.000	-3	10054
880.000	4	10060
881.000	-2	10055
882.000	3	10060
883.000	4	10062
884.000	-3	10056
885.000	2	10060
886.000	2	10061
887.000	-10	10049
888.000	1	10057
889.000	5	10061
890.000	4	10062
891.000	-4	10055
892.000	2	10060
893.000	9	10068
894.000	-4	10057
895.000	-1	10059
896.000	1	10061
897.000	1	10061
898.000	1	10061
899.000	7	10068
900.000	-7	10056
901.000	-2	10059
902.000	6	10066
903.000	-5	10057
904.000	-1	10059
905.000	0	10060
906.000	7	10067
907.000	-6	10056
908.000	-1	10059
909.000	7	10067
910.000	0	10062
911.000	-1	10061
912.000	-1	10061
913.000	5	10067
914.000	-1	10062
915.000	-2	10061
916.000	-2	10060
917.000	-2	10060
918.000	-1	10060
919.000	0	10061
920.000	7	10068
921.000	-13	10050
922.000	4	10063
923.000	8	10068
924.000	1	10063
925.000	-8	10055
926.000	-2	10058
927.000	7	10067
928.000	-6	10056
929.000	6	10066
930.000	0	10062
931.000	-7	10055
932.000	5	10065
933.000	1	10062
934.000	-1	10061
935.000	-7	10054
936.000	6	10065
937.000	1	10062
938.000	-6	10055
939.000	-1	10058
940.000	-5	10054
941.000	8	10066
942.000	3	10063
943.000	-6	10055
944.000	0	10059
945.000	2	10061
946.000	1	10061
947.000	1	10061
948.000	-12	10048
949.000	7	10064
950.000	4	10063
951.000	-5	10055
952.000	1	10060
953.000	2	10061
954.000	-11	10048
955.000	1	10057
956.000	5	10061
957.000	-2	10056
958.000	3	10060
959.000	-3	10055
960.000	9	10066
961.000	3	10063
962.000	1	10062
963.000	-1	10060
964.000	6	10067
965.000	0	10063
966.000	-2	10061
967.000	4	10066
968.000	-1	10062
969.000	-3	10060
970.000	4	10066
971.000	-8	10055
972.000	4	10065
973.000	0	10062
974.000	5	10067
975.000	5	10069
976.000	-3	10062
977.000	2	10066
978.000	9	10074
979.000	-4	10064
980.000	6	10072
981.000	1	10069
982.000	-1	10067
983.000	5	10073
984.000	-8	10062
985.000	4	10071
986.000	13	10081
987.000	-8	10064
988.000	1	10071
989.000	-2	10068
990.000	3	10073
991.000	-9	10062
992.000	3	10071
993.000	12	10081
994.000	-2	10070
995.000	1	10073
996.000	-4	10068
997.000	1	10072
998.000	3	10074
999.000	2	10074
1000.000	2	10075
1001.000	-6	10067
1002.000	7	10078
1003.000	-5	10069
1004.000	7	10079
1005.000	-5	10069
1006.000	6	10079
1007.000	0	10074
1008.000	0	10074
1009.000	-1	10073
1010.000	-1	10073
1011.000	-1	10073
1012.000	-7	10067
1013.000	7	10078
1014.000	2	10076
1015.000	0	10074
1016.000	-1	10073
1017.000	-1	10073
1018.000	6	10080
1019.000	-6	10069
1020.000	5	10079
1021.000	0	10075
1022.000	4	10079
1023.000	-1	10075
1024.000	4	10080
1025.000	-3	10074
1026.000	9	10085
1027.000	-2	10077
1028.000	1	10079
1029.000	-5	10074
1030.000	1	10078
1031.000	3	10080
1032.000	2	10080
1033.000	-5	10074
1034.000	8	10085
1035.000	-4	10076
1036.000	7	10086
1037.000	-6	10075
1038.000	6	10085
1039.000	1	10082
1040.000	5	10086
1041.000	-7	10076
1042.000	4	10084
1043.000	-1	10081
1044.000	5	10086
1045.000	-2	10081
1046.000	4	10086
1047.000	-3	10080
1048.000	3	10086
1049.000	-2	10081
1050.000	9	10092
1051.000	-3	10083
1052.000	7	10092
1053.000	2	10089
1054.000	0	10087
1055.000	-2	10085
1056.000	6	10093
1057.000	-1	10088
1058.000	4	10092
1059.000	-8	10081
1060.000	3	10090
1061.000	0	10088
1062.000	4	10092
1063.000	-8	10081
1064.000	4	10091
1065.000	6	10094
1066.000	-2	10088
1067.000	3	10092
1068.000	-9	10081
1069.000	9	10096
1070.000	-1	10089
1071.000	3	10093
1072.000	3	10094
1073.000	-5	10087
1074.000	8	10098
1075.000	-4	10088
1076.000	0	10091
1077.000	-5	10086
1078.000	2	10092
1079.000	-3	10087
1080.000	2	10091
1081.000	3	10093
1082.000	-4	10087
1083.000	2	10092
1084.000	3	10093
1085.000	2	10093
1086.000	8	10100
1087.000	-5	10089
1088.000	-2	10091
1089.000	0	10092
1090.000	1	10093
1091.000	0	10092
1092.000	1	10093
1093.000	0	10093
1094.000	0	10093
1095.000	0	10093
1096.000	6	10099
1097.000	6	10101
1098.000	-1	10095
1099.000	2	10098
1100.000	-9	10088
1101.000	2	10096
1102.000	-8	10087
1103.000	5	10097
1104.000	1	10095
1105.000	5	10099
1106.000	-1	10094
1107.000	4	10099
1108.000	-3	10093
1109.000	3	10098
1110.000	-3	10093
1111.000	3	10098
1112.000	4	10100
1113.000	2	10100
1114.000	2	10100
1115.000	-6	10093
1116.000	7	10104
1117.000	-4	10095
1118.000	0	10098
1119.000	1	10099
1120.000	8	10106
1121.000	-6	10095
1122.000	5	10104
1123.000	1	10101
1124.000	-1	10100
1125.000	-2	10098
1126.000	5	10105
1127.000	0	10101
1128.000	-2	10099
1129.000	-2	10099
1130.000	5	10105
1131.000	-7	10094
1132.000	10	10109
1133.000	-7	10095
1134.000	4	10104
1135.000	-2	10099
1136.000	4	10105
1137.000	-1	10101
1138.000	10	10112
1139.000	-3	10102
1140.000	1	10105
1141.000	-5	10099
1142.000	1	10104
1143.000	9	10112
1144.000	-10	10096
1145.000	7	10110
1146.000	-10	10095
1147.000	0	10102
1148.000	-2	10100
1149.000	-3	10098
1150.000	-2	10098
1151.000	-1	10099
1152.000	6	10105
1153.000	-7	10094
1154.000	4	10103
1155.000	-6	10094
1156.000	5	10103
1157.000	-5	10095
1158.000	-1	10097
1159.000	-6	10092
1160.000	-5	10091
1161.000	9	10104
1162.000	-9	10089
1163.000	2	10097
1164.000	-2	10093
1165.000	3	10098
1166.000	-8	10088
1167.000	3	10096
1168.000	-7	10087
1169.000	5	10097
1170.000	0	10094
1171.000	6	10100
1172.000	-1	10094
1173.000	4	10099
1174.000	-9	10087
1175.000	-4	10090
1176.000	6	10098
1177.000	0	10094
1178.000	5	10099
1179.000	-2	10094
1180.000	4	10099
1181.000	-3	10093
1182.000	3	10098
1183.000	-3	10093
1184.000	3	10098
1185.000	4	10100
1186.000	2	10100
1187.000	2	10100
1188.000	1	10100
1189.000	0	10099
1190.000	-6	10093
1191.000	6	10103
1192.000	2	10101
1193.000	7	10107
1194.000	-1	10101
1195.000	4	10105
1196.000	-9	10094
1197.000	3	10103
1198.000	-1	10100
1199.000	5	10106
1200.000	-8	10094
1201.000	-3	10097
1202.000	6	10105
1203.000	1	10102
1204.000	4	10105
1205.000	-1	10101
1206.000	3	10105
1207.000	-3	10100
1208.000	3	10105
1209.000	4	10107
1210.000	3	10107
1211.000	-5	10100
1212.000	1	10104
1213.000	-4	10100
1214.000	8	10110
1215.000	3	10108
1216.000	1	10107
1217.000	0	10106
1218.000	6	10112
1219.000	-7	10101
1220.000	4	10110
1221.000	-6	10101
1222.000	5	10110
1223.000	0	10107
1224.000	5	10112
1225.000	0	10108
1226.000	3	10111
1227.000	-2	10107
1228.000	9	10117
1229.000	-9	10102
1230.000	1	10109
1231.000	-3	10106
1232.000	3	10111
1233.000	-2	10107
1234.000	-3	10105
1235.000	4	10111
1236.000	-8	10100
1237.000	9	10115
1238.000	0	10109
1239.000	3	10112
1240.000	-9	10101
1241.000	2	10109
1242.000	-1	10106
1243.000	4	10111
1244.000	11	10119
1245.000	-2	10110
1246.000	0	10111
1247.000	1	10112
1248.000	1	10112
1249.000	-6	10106
1250.000	6	10116
1251.000	-4	10108
1252.000	7	10117
1253.000	-5	10108
1254.000	-1	10110
1255.000	-5	10106
1256.000	7	10116
1257.000	-3	10108
1258.000	6	10116
1259.000	-4	10108
1260.000	-1	10110
1261.000	-5	10106
1262.000	7	10116
1263.000	-3	10108
1264.000	7	10117
1265.000	1	10114
1266.000	-1	10112
1267.000	-1	10112
1268.000	6	10118
1269.000	0	10114
1270.000	-2	10112
1271.000	-3	10110
1272.000	-1	10112
1273.000	-1	10111
1274.000	6	10118
1275.000	-6	10108
1276.000	4	10116
1277.000	-6	10107
1278.000	-1	10110
1279.000	0	10111
1280.000	1	10112
1281.000	-12	10099
1282.000	1	10109
1283.000	-2	10106
1284.000	3	10110
1285.000	-1	10107
1286.000	3	10111
1287.000	-9	10100
1288.000	3	10109
1289.000	-1	10106
1290.000	5	10112
1291.000	-8	10100
1292.000	4	10110
1293.000	-7	10100
1294.000	5	10110
1295.000	7	10114
1296.000	-1	10108
1297.000	3	10111
1298.000	-3	10106
1299.000	3	10111
1300.000	-3	10106
1301.000	3	10111
1302.000	-3	10106
1303.000	3	10111
1304.000	-3	10106
1305.000	2	10110
1306.000	4	10113
1307.000	-3	10107
1308.000	1	10110
1309.000	-3	10107
1310.000	2	10111
1311.000	-3	10106
1312.000	3	10111
1313.000	-3	10106
1314.000	-4	10104
1315.000	-3	10104
1316.000	5	10111
1317.000	-1	10107
1318.000	-2	10105
1319.000	-2	10105
1320.000	-1	10105
1321.000	-1	10105
1322.000	-1	10105
1323.000	7	10112
1324.000	0	10107
1325.000	4	10111
1326.000	5	10114
1327.000	-10	10100
1328.000	2	10109
1329.000	-8	10100
1330.000	4	10109
1331.000	0	10107
1332.000	-1	10106
1333.000	-1	10105
1334.000	6	10112
1335.000	6	10114
1336.000	-2	10108
1337.000	2	10111
1338.000	-4	10106
1339.000	3	10111
1340.000	-9	10100
1341.000	2	10109
1342.000	6	10113
1343.000	-2	10107
1344.000	3	10111
1345.000	-9	10100
1346.000	9	10116
1347.000	5	10114
1348.000	-10	10101
1349.000	8	10116
1350.000	-9	10101
1351.000	8	10115
1352.000	-2	10108
1353.000	-4	10105
1354.000	-4	10104
1355.000	4	10111
1356.000	5	10113
1357.000	-2	10108
1358.000	2	10111
1359.000	-3	10107
1360.000	8	10117
1361.000	-3	10108
1362.000	7	10117
1363.000	2	10114
1364.000	0	10113
1365.000	5	10118
1366.000	-7	10107
1367.000	4	10116
1368.000	-7	10106
1369.000	5	10116
1370.000	7	10120
1371.000	-1	10114
1372.000	3	10118
1373.000	-9	10107
1374.000	3	10116
1375.000	-1	10113
1376.000	5	10118
1377.000	-2	10113
1378.000	-9	10105
1379.000	4	10116
1380.000	6	10119
1381.000	-7	10108
1382.000	-3	10110
1383.000	0	10112
1384.000	0	10112
1385.000	0	10112
1386.000	0	10112
1387.000	7	10119
1388.000	0	10114
1389.000	5	10119
1390.000	-8	10107
1391.000	3	10116
1392.000	5	10119
1393.000	-2	10113
1394.000	-3	10112
1395.000	-3	10111
1396.000	-1	10112
1397.000	-8	10105
1398.000	6	10116
1399.000	2	10114
1400.000	-7	10106
1401.000	6	10116
1402.000	-5	10107
1403.000	6	10117
1404.000	-12	10101
1405.000	6	10115
1406.000	-3	10108
1407.000	-5	10105
1408.000	2	10110
1409.000	3	10112
1410.000	3	10113
1411.000	-4	10107
1412.000	1	10111
1413.000	-4	10106
1414.000	8	10117
1415.000	4	10115
1416.000	-6	10106
1417.000	6	10116
1418.000	-5	10107
1419.000	0	10111
1420.000	7	10118
1421.000	-5	10108
1422.000	6	10117
1423.000	-6	10107
1424.000	5	10116
1425.000	1	10114
1426.000	5	10118
1427.000	-8	10107
1428.000	4	10116
1429.000	0	10113
1430.000	4	10117
1431.000	5	10120
1432.000	-2	10114
1433.000	2	10118
1434.000	-10	10106
1435.000	2	10115
